Configuration,N,M,D,K,Distance_Metric,Avg_Optimized_Distance,Std_Optimized_Distance,Avg_Kmeans_Distance,Avg_Random_Distance,Improvement_vs_Kmeans,Improvement_vs_Random,Runs_Count
Small_Grid_Few_Generators,5,1,10,2,euclidean,17.44000438793364,1.465702849068434,17.44000438793364,24.15280030849821,0.0,25.23689963142198,5
Small_Grid_Few_Generators,5,1,10,2,manhattan,20.2,2.315167380558045,20.2,31.6,0.0,27.317923133776787,5
Small_Grid_Few_Generators,5,1,10,2,chebyshev,13.8,1.16619037896906,13.8,26.0,0.0,46.43303348325837,5
Medium_Grid_Few_Generators,5,2,25,2,euclidean,31.730149843394535,5.718689202120733,20.956052402165817,49.093352435444416,-50.83701904780959,26.098068314702566,5
Medium_Grid_Few_Generators,5,2,25,2,manhattan,33.8,3.815756805667783,29.8,44.6,-15.765599343185551,20.211675579322637,5
Medium_Grid_Few_Generators,5,2,25,2,chebyshev,34.0,9.57078889120432,21.8,52.2,-55.86522977827326,28.335745875552824,5
Large_Grid_Few_Generators,5,2,50,2,euclidean,78.97658557593705,8.008117678189405,58.420209636958575,95.31797382600928,-38.103258176024504,16.65053829695584,5
Large_Grid_Few_Generators,5,2,50,2,manhattan,76.4,15.49967741599805,60.0,137.8,-28.19941306344446,42.30692541058434,5
Large_Grid_Few_Generators,5,2,50,2,chebyshev,51.8,16.9162643630324,39.6,100.4,-33.54910436596161,48.542726401115665,5
Medium_Grid_Many_Generators,10,3,25,2,euclidean,64.44959970672507,6.72385029296884,43.91541948442784,93.99438997979503,-46.94524057592329,29.026529679171553,5
Medium_Grid_Many_Generators,10,3,25,2,manhattan,78.8,15.84171707865028,48.4,107.8,-63.04892781636968,25.47988666266844,5
Medium_Grid_Many_Generators,10,3,25,2,chebyshev,58.2,4.445222154178573,39.8,75.0,-49.64694404893741,21.81720784506929,5
Large_Grid_Many_Generators,10,4,50,2,euclidean,118.57226582173448,21.314669528394486,53.106058483538185,140.40434620533657,-135.95310617769368,14.386344836668972,5
Large_Grid_Many_Generators,10,4,50,2,manhattan,155.6,27.295420861382592,73.0,187.8,-113.37153758258869,16.263091069744313,5
Large_Grid_Many_Generators,10,4,50,2,chebyshev,99.4,8.890444308357148,56.6,153.0,-80.26345422833695,34.57234635329038,5
Mixed_Scale_Test,8,2,30,2,euclidean,71.1957995820701,17.396538981287787,56.42913052419364,96.23390760296468,-26.975649884698193,24.626367380764435,5
Mixed_Scale_Test,8,2,30,2,manhattan,92.4,7.657675887630659,72.6,123.6,-31.23949686663376,20.93693352141789,5
Mixed_Scale_Test,8,2,30,2,chebyshev,64.8,6.43117407632541,53.6,95.2,-21.104788223876263,29.46029982743745,5
